;;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;23110000100030200002 Численность постоянного населения на 1 января;
;;январь 1999 г.;январь 2000 г.;январь 2001 г.;январь 2002 г.;январь 2003 г.;январь 2004 г.;январь 2005 г.;январь 2006 г.;январь 2007 г.;январь 2008 г.;январь 2009 г.;январь 2010 г.;январь 2011 г.;январь 2012 г.;январь 2013 г.;январь 2014 г.;январь 2015 г.;январь 2016 г.;январь 2017 г.;январь 2018 г.;январь 2019 г.;январь 2020 г.;январь 2021 г.;январь 2022 г.;
все население;w2:p_mest:11;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;201699;202441;203030;202945;203038;202571;202333;201674;201744;203128;204687;205386;206530;208425;210344;211645;213703;215161;217007;218063;218866;220181;220954;221559;
Республика Тыва;93000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;306169;306152;305729;305216;305493;304957;304066;302889;302357;303783;305306;307323;308132;309347;310460;311761;313777;315637;318550;321722;324423;327383;330368;332609;
Республика Хакасия;95000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;561366;557481;554411;549489;545198;541414;537973;533824;531140;531307;531874;532739;532286;532135;533025;534079;535796;536781;537668;537513;536167;534262;532036;528338;
Алтайский край;01000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2662738;2651628;2641079;2621050;2602595;2571987;2539430;2503510;2473024;2453455;2438910;2430765;2417358;2407230;2398751;2390638;2384812;2376774;2365680;2350080;2332813;2317153;2296353;2268179;
Муниципальные образования Алтайского края;01000000000;;;;;;;;;;;;;;;;;;2376774;2365680;2350080;2332813;2317153;2296353;;
Алейский муниципальный район;01601000000;;;;;;;;;;;;;;;;;;14709;14513;14407;14062;13680;13330;;
Алейский сельсовет;01601402000;;;;;;;;;;;;;;;;;;1106;1106;1084;1028;960;890;;
Безголосовский сельсовет;01601408000;;;;;;;;;;;;;;;;;;592;595;587;587;550;543;;
Большепанюшевский сельсовет;01601413000;;;;;;;;;;;;;;;;;;580;562;554;536;538;538;;
Боровской сельсовет;01601417000;;;;;;;;;;;;;;;;;;1023;999;1000;940;912;905;;
Дружбинский сельсовет;01601420000;;;;;;;;;;;;;;;;;;1038;1034;1036;1029;995;952;;
Дубровский сельсовет;01601423000;;;;;;;;;;;;;;;;;;826;811;793;781;752;747;;
Заветильичёвский сельсовет;01601426000;;;;;;;;;;;;;;;;;;1577;1556;1572;1576;1559;1532;;
Кашинский сельсовет;01601432000;;;;;;;;;;;;;;;;;;1228;1197;1186;1150;1119;1096;;
Кировский сельсовет;01601438000;;;;;;;;;;;;;;;;;;742;725;694;657;636;604;;
Краснопартизанский сельсовет;01601440000;;;;;;;;;;;;;;;;;;528;527;529;515;513;501;;
Малиновский сельсовет;01601460000;;;;;;;;;;;;;;;;;;262;257;227;219;206;202;;
Моховской сельсовет;01601464000;;;;;;;;;;;;;;;;;;863;864;868;857;833;828;;
Осколковский сельсовет;01601468000;;;;;;;;;;;;;;;;;;728;705;706;689;675;668;;
Плотавский сельсовет;01601473000;;;;;;;;;;;;;;;;;;458;445;435;400;387;348;;
Савинский сельсовет;01601475000;;;;;;;;;;;;;;;;;;418;403;390;356;339;323;;
Совхозный сельсовет;01601477000;;;;;;;;;;;;;;;;;;1037;1058;1041;1040;1018;993;;
Урюпинский сельсовет;01601485000;;;;;;;;;;;;;;;;;;620;619;659;656;643;636;;
Фрунзенский сельсовет;01601496000;;;;;;;;;;;;;;;;;;573;556;548;553;557;553;;
Чапаевский сельсовет;01601498000;;;;;;;;;;;;;;;;;;510;494;498;493;488;471;;
Алтайский муниципальный район;01602000000;;;;;;;;;;;;;;;;;;26090;26022;25886;25859;25939;26153;;
Айский сельсовет;01602405000;;;;;;;;;;;;;;;;;;3220;3214;3200;3191;3184;3203;;
Алтайский сельсовет;01602407000;;;;;;;;;;;;;;;;;;14235;14218;14118;14151;14228;14447;;
Беловский сельсовет;01602412000;;;;;;;;;;;;;;;;;;414;416;412;401;377;358;;
Куяганский сельсовет;01602423000;;;;;;;;;;;;;;;;;;935;925;916;881;864;850;;
Куячинский сельсовет;01602427000;;;;;;;;;;;;;;;;;;944;948;928;915;896;885;;
Макарьевский сельсовет;01602435000;;;;;;;;;;;;;;;;;;444;428;416;415;424;406;;
Нижнекаменский сельсовет;01602446000;;;;;;;;;;;;;;;;;;2045;2053;2056;2069;2081;2106;;
Пролетарский сельсовет;01602457000;;;;;;;;;;;;;;;;;;1289;1292;1311;1308;1311;1315;;
Россошинский сельсовет;01602468000;;;;;;;;;;;;;;;;;;1018;1001;998;995;1002;994;;
Старобелокурихинский сельсовет;01602479000;;;;;;;;;;;;;;;;;;1546;1527;1531;1533;1572;1589;;
Баевский муниципальный район;01603000000;;;;;;;;;;;;;;;;;;9511;9362;9238;9018;8837;8547;;
Баевский сельсовет;01603407000;;;;;;;;;;;;;;;;;;4188;4121;4090;4020;3984;3889;;
Верх-Пайвинский сельсовет;01603416000;;;;;;;;;;;;;;;;;;645;640;627;612;562;531;;
Верх-Чуманский сельсовет;01603419000;;;;;;;;;;;;;;;;;;847;826;815;778;747;729;;
Нижнечуманский сельсовет;01603437000;;;;;;;;;;;;;;;;;;1427;1416;1395;1358;1337;1285;;
Паклинский сельсовет;01603455000;;;;;;;;;;;;;;;;;;506;487;484;468;463;436;;
Прослаухинский сельсовет;01603469000;;;;;;;;;;;;;;;;;;435;426;410;404;389;379;;
Ситниковский сельсовет;01603480000;;;;;;;;;;;;;;;;;;676;677;660;636;606;590;;
Бийский муниципальный район;01604000000;;;;;;;;;;;;;;;;;;32563;32387;31771;31314;30832;30207;;
Большеугреневский сельсовет;01604410000;;;;;;;;;;;;;;;;;;799;790;789;763;730;722;;
Верх-Бехтемирский сельсовет;01604415000;;;;;;;;;;;;;;;;;;979;964;942;932;938;880;;
Верх-Катунский сельсовет;01604417000;;;;;;;;;;;;;;;;;;3452;3437;3358;3285;3205;3172;;
Енисейский сельсовет;01604422000;;;;;;;;;;;;;;;;;;1457;1450;1418;1398;1340;1297;;
Заринский сельсовет;01604424000;;;;;;;;;;;;;;;;;;1566;1536;1513;1487;1462;1451;;
Калининский сельсовет;01604434000;;;;;;;;;;;;;;;;;;1038;1022;1004;991;954;949;;
Лесной сельсовет;01604437000;;;;;;;;;;;;;;;;;;2340;2307;2253;2227;2177;2145;;
Малоенисейский сельсовет;01604455000;;;;;;;;;;;;;;;;;;2764;2761;2686;2653;2639;2601;;
Малоугреневский сельсовет;01604459000;;;;;;;;;;;;;;;;;;3460;3471;3430;3422;3383;3308;;
Новиковский сельсовет;01604464000;;;;;;;;;;;;;;;;;;1395;1390;1359;1320;1297;1258;;
Первомайский сельсовет;01604470000;;;;;;;;;;;;;;;;;;6547;6576;6499;6448;6397;6315;;
Светлоозёрский сельсовет;01604480000;;;;;;;;;;;;;;;;;;1536;1544;1533;1508;1469;1419;;
Сростинский сельсовет;01604483000;;;;;;;;;;;;;;;;;;2949;2902;2844;2801;2812;2737;;
Усятский сельсовет;01604488000;;;;;;;;;;;;;;;;;;1303;1281;1232;1184;1179;1140;;
Шебалинский сельсовет;01604495000;;;;;;;;;;;;;;;;;;978;956;911;895;850;813;;
Благовещенский муниципальный район;01605000000;;;;;;;;;;;;;;;;;;28739;28596;28461;28044;27752;27371;;
Благовещенский поссовет;01605151000;;;;;;;;;;;;;;;;;;11608;11631;11617;11496;11436;11348;;
Степноозёрский поссовет;01605157000;;;;;;;;;;;;;;;;;;6352;6300;6319;6304;6262;6163;;
Алексеевский сельсовет;01605406000;;;;;;;;;;;;;;;;;;386;376;401;382;368;354;;
Гляденьский сельсовет;01605420000;;;;;;;;;;;;;;;;;;1342;1357;1311;1294;1290;1272;;
Леньковский сельсовет;01605436000;;;;;;;;;;;;;;;;;;3141;3071;3062;2972;2939;2893;;
Нижнекучукский сельсовет;01605447000;;;;;;;;;;;;;;;;;;464;468;452;439;433;441;;
Николаевский сельсовет;01605452000;;;;;;;;;;;;;;;;;;888;876;868;862;830;827;;
Новокулундинский сельсовет;01605456000;;;;;;;;;;;;;;;;;;1019;1001;974;933;909;879;;
Орлеанский сельсовет;01605458000;;;;;;;;;;;;;;;;;;571;570;576;560;546;551;;
Суворовский сельсовет;01605461000;;;;;;;;;;;;;;;;;;950;960;955;944;917;886;;
Шимолинский сельсовет;01605483000;;;;;;;;;;;;;;;;;;1136;1115;1081;1033;1017;977;;
Яготинский сельсовет;01605494000;;;;;;;;;;;;;;;;;;882;871;845;825;805;780;;
Бурлинский муниципальный район;01606000000;;;;;;;;;;;;;;;;;;10640;10448;10384;10161;9884;9623;;
Бурлинский сельсовет;01606411000;;;;;;;;;;;;;;;;;;4256;4162;4153;4103;4002;3937;;
Михайловский сельсовет;01606422000;;;;;;;;;;;;;;;;;;1280;1270;1257;1214;1182;1159;;
Новоандреевский сельсовет;01606430000;;;;;;;;;;;;;;;;;;281;275;253;248;258;247;;
Новопесчанский сельсовет;01606433000;;;;;;;;;;;;;;;;;;859;846;822;809;778;771;;
Новосельский сельсовет;01606444000;;;;;;;;;;;;;;;;;;795;778;787;761;730;686;;
Ореховский сельсовет;01606455000;;;;;;;;;;;;;;;;;;582;559;552;527;498;464;;
Партизанский сельсовет;01606466000;;;;;;;;;;;;;;;;;;1041;1026;1003;969;953;926;;
Рожковский сельсовет;01606470000;;;;;;;;;;;;;;;;;;523;522;536;522;524;498;;
Устьянский сельсовет;01606477000;;;;;;;;;;;;;;;;;;1023;1010;1021;1008;959;935;;
Быстроистокский муниципальный район;01607000000;;;;;;;;;;;;;;;;;;9118;8955;8834;8633;8506;8382;;
Акутихинский сельсовет;01607403000;;;;;;;;;;;;;;;;;;1048;1026;1002;964;960;940;;
Быстроистокский сельсовет;01607405000;;;;;;;;;;;;;;;;;;3460;3382;3355;3272;3189;3159;;
Верх-Ануйский сельсовет;01607411000;;;;;;;;;;;;;;;;;;1085;1081;1066;1044;1029;1021;;
Верх-Озёрнинский сельсовет;01607422000;;;;;;;;;;;;;;;;;;454;442;436;428;429;423;;
Новопокровский сельсовет;01607433000;;;;;;;;;;;;;;;;;;928;913;892;882;863;859;;
Приобский сельсовет;01607437000;;;;;;;;;;;;;;;;;;782;789;775;749;742;732;;
Усть-Ануйский сельсовет;01607444000;;;;;;;;;;;;;;;;;;262;246;240;225;222;209;;
Хлеборобный сельсовет;01607455000;;;;;;;;;;;;;;;;;;1099;1076;1068;1069;1072;1039;;
Волчихинский муниципальный район;01608000000;;;;;;;;;;;;;;;;;;17876;17704;17423;17084;16853;16699;;
Берёзовский сельсовет;01608410000;;;;;;;;;;;;;;;;;;519;504;498;458;435;431;;
Бор-Форпостовский сельсовет;01608414000;;;;;;;;;;;;;;;;;;843;837;820;792;779;762;;
Волчихинский сельсовет;01608421000;;;;;;;;;;;;;;;;;;10250;10162;10015;9883;9822;9831;;
Востровский сельсовет;01608423000;;;;;;;;;;;;;;;;;;1535;1527;1526;1497;1477;1445;;
Коминтерновский сельсовет;01608430000;;;;;;;;;;;;;;;;;;401;398;374;356;337;327;;
Малышево-Логовской сельсовет;01608434000;;;;;;;;;;;;;;;;;;1053;1047;1018;991;985;953;;
Новокормихинский сельсовет;01608445000;;;;;;;;;;;;;;;;;;434;423;406;407;373;359;;
Пятковологовской сельсовет;01608456000;;;;;;;;;;;;;;;;;;350;337;331;312;297;274;;
Селивёрстовский сельсовет;01608467000;;;;;;;;;;;;;;;;;;659;653;643;627;626;632;;
Солоновский сельсовет;01608478000;;;;;;;;;;;;;;;;;;830;813;802;779;751;717;;
Усть-Волчихинский сельсовет;01608489000;;;;;;;;;;;;;;;;;;1002;1003;990;982;971;968;;
Егорьевский муниципальный район;01609000000;;;;;;;;;;;;;;;;;;13371;13239;13070;12912;12602;12279;;
Кругло-Семенцовский сельсовет;01609411000;;;;;;;;;;;;;;;;;;556;547;534;519;483;453;;
Лебяжинский сельсовет;01609422000;;;;;;;;;;;;;;;;;;2004;1989;1989;1951;1884;1830;;
Малошелковниковский сельсовет;01609428000;;;;;;;;;;;;;;;;;;686;683;669;656;647;631;;
Новоегорьевский сельсовет;01609433000;;;;;;;;;;;;;;;;;;5481;5461;5433;5383;5268;5183;;
Первомайский сельсовет;01609444000;;;;;;;;;;;;;;;;;;967;944;915;901;879;873;;
Сростинский сельсовет;01609455000;;;;;;;;;;;;;;;;;;2204;2178;2157;2165;2144;2043;;
Титовский сельсовет;01609466000;;;;;;;;;;;;;;;;;;933;910;873;860;842;824;;
Шубинский сельсовет;01609490000;;;;;;;;;;;;;;;;;;540;527;500;477;455;442;;
Ельцовский муниципальный район;01610000000;;;;;;;;;;;;;;;;;;6070;6113;6123;6049;5950;5924;;
Верх-Ненинский сельсовет;01610411000;;;;;;;;;;;;;;;;;;212;212;201;169;160;163;;
Ельцовский сельсовет;01610422000;;;;;;;;;;;;;;;;;;2896;2900;2912;2915;2875;2871;;
Мартыновский сельсовет;01610433000;;;;;;;;;;;;;;;;;;1313;1330;1334;1315;1304;1296;;
Новокаменский сельсовет;01610444000;;;;;;;;;;;;;;;;;;379;359;359;342;334;328;;
Пуштулимский сельсовет;01610466000;;;;;;;;;;;;;;;;;;965;996;989;984;966;949;;
Черемшанский сельсовет;01610488000;;;;;;;;;;;;;;;;;;305;316;328;324;311;317;;
Завьяловский муниципальный район;01611000000;;;;;;;;;;;;;;;;;;18230;18215;17964;17531;17293;17001;;
Гилёвский сельсовет;01611411000;;;;;;;;;;;;;;;;;;1232;1226;1211;1166;1172;1130;;
Глубоковский сельсовет;01611416000;;;;;;;;;;;;;;;;;;1657;1686;1664;1638;1611;1581;;
Гоноховский сельсовет;01611423000;;;;;;;;;;;;;;;;;;1816;1803;1791;1742;1718;1699;;
Завьяловский сельсовет;01611434000;;;;;;;;;;;;;;;;;;6922;6906;6826;6718;6670;6618;;
Камышенский сельсовет;01611445000;;;;;;;;;;;;;;;;;;877;891;891;860;844;842;;
Малиновский сельсовет;01611456000;;;;;;;;;;;;;;;;;;1266;1263;1231;1217;1207;1184;;
Овечкинский сельсовет;01611467000;;;;;;;;;;;;;;;;;;729;725;715;660;645;634;;
Светловский сельсовет;01611469000;;;;;;;;;;;;;;;;;;525;545;536;513;480;459;;
Тумановский сельсовет;01611470000;;;;;;;;;;;;;;;;;;317;325;317;310;305;307;;
Харитоновский сельсовет;01611478000;;;;;;;;;;;;;;;;;;1048;1021;990;951;927;897;;
Чернавский сельсовет;01611486000;;;;;;;;;;;;;;;;;;560;548;541;519;504;482;;
Чистоозёрский сельсовет;01611489000;;;;;;;;;;;;;;;;;;1281;1276;1251;1237;1210;1168;;
Залесовский муниципальный район;01612000000;;;;;;;;;;;;;;;;;;14124;14041;14020;13869;13619;13322;;
Большекалтайский сельсовет;01612409000;;;;;;;;;;;;;;;;;;508;494;475;465;432;401;;
Борисовский сельсовет;01612412000;;;;;;;;;;;;;;;;;;838;818;795;774;750;714;;
Думчевский сельсовет;01612422000;;;;;;;;;;;;;;;;;;628;599;590;588;571;566;;
Залесовский сельсовет;01612426000;;;;;;;;;;;;;;;;;;7700;7749;7865;7852;7751;7660;;
Кордонский сельсовет;01612437000;;;;;;;;;;;;;;;;;;567;555;542;523;509;479;;
Пещерский сельсовет;01612459000;;;;;;;;;;;;;;;;;;1241;1227;1202;1140;1138;1116;;
Тундрихинский сельсовет;01612470000;;;;;;;;;;;;;;;;;;563;529;520;507;473;456;;
Черёмушкинский сельсовет;01612481000;;;;;;;;;;;;;;;;;;1269;1258;1235;1227;1212;1175;;
Шатуновский сельсовет;01612492000;;;;;;;;;;;;;;;;;;810;812;796;793;783;755;;
Заринский муниципальный район;01613000000;;;;;;;;;;;;;;;;;;18210;17752;17464;17106;16637;16245;;
Аламбайский сельсовет;01613406000;;;;;;;;;;;;;;;;;;502;474;461;449;417;396;;
Верх-Камышенский сельсовет;01613420000;;;;;;;;;;;;;;;;;;705;697;697;693;675;653;;
Воскресенский сельсовет;01613425000;;;;;;;;;;;;;;;;;;399;399;370;366;358;351;;
Голухинский сельсовет;01613428000;;;;;;;;;;;;;;;;;;1660;1618;1602;1547;1510;1490;;
Гоношихинский сельсовет;01613430000;;;;;;;;;;;;;;;;;;1183;1162;1138;1105;1088;1064;;
Гришинский сельсовет;01613434000;;;;;;;;;;;;;;;;;;470;469;458;444;425;416;;
Раздел 2. Населенные пункты, входящие в состав муниципальных образований субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Населенные пункты, входящие в состав муниципальных образований Алтайского края;01000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Населенные пункты, входящие в состав сельского поселения Плотавский сельсовет Баевского муниципального района;01603458000;;;;;;;;;;;;;;;;;;787;769;757;742;749;708;;
Населенные пункты, входящие в состав городского поселения Благовещенский поссовет Благовещенского муниципального района;01605151000;;;;;;;;;;;;;;;;;;;;;;;;;
рп Благовещенка;01605151051;;;;;;;;;;;;;;;;;;11548;11577;11565;11448;11390;11300;;
Населенные пункты, входящие в состав городского поселения Степноозёрский поссовет Благовещенского муниципального района;01605157000;;;;;;;;;;;;;;;;;;;;;;;;;
рп Степное Озеро;01605157051;;;;;;;;;;;;;;;;;;6352;6300;6319;6304;6262;6163;;
Агинский Бурятский округ (Забайкальский край);76100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;71325;71307;71162;71777;;;;;;;;;;;;;;;;;;;;;
Красноярский край;04000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;3048716;3022092;3000891;2981746;2961871;2931905;2901930;2869315;2845425;2837013;2832591;2832854;2829105;2838396;2846475;2852810;2858773;2866490;2875301;2876497;2874026;2866255;2855899;2849169;
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);04100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;39026;38263;38250;39160;;;;;;;;;;;;;;;;;;;;;
Эвенкийский автономный округ (Красноярский край);04130000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;19014;18469;18012;17751;;;;;;;;;;;;;;;;;;;;;
Иркутская область;25000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2667886;2644022;2623183;2599675;2577702;2552298;2524080;2492143;2467383;2455410;2448287;2440391;2427954;2424355;2422026;2418348;2414913;2412800;2408901;2404195;2397763;2391193;2375021;2357134;
Кемеровская область - Кузбасс;32000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2985392;2963439;2942264;2917769;2893448;2862105;2832963;2805941;2785999;2780231;2776358;2772964;2761255;2750829;2742450;2734075;2724990;2717627;2708844;2694877;2674256;2657854;2633446;2604272;
Усть-Ордынский Бурятский округ;25100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;134461;134694;134735;135210;;;;;;;;;;;;;;;;;;;;;
Новосибирская область;50000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2734031;2725499;2715128;2703012;2688423;2674155;2665984;2654853;2647195;2642727;2648923;2661594;2666465;2686863;2709461;2731176;2746822;2762237;2779555;2788849;2793384;2798170;2785836;2780292;
Омская область;52000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2153911;2136058;2117291;2094735;2075422;2052741;2034091;2016288;2003282;1993290;1987716;1983985;1976560;1974820;1973985;1973876;1978183;1978466;1972682;1960081;1944195;1926665;1903675;1879548;
Томская область;69000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1062469;1057846;1054272;1049770;1045539;1037952;1029944;1024294;1023063;1026307;1031522;1040245;1048538;1057748;1064245;1070128;1074453;1076762;1078891;1078280;1077442;1079271;1070339;1068304;
Дальневосточный федеральный округ;036;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;7027462;6913279;6832034;6743006;6679743;6608263;6537601;6460402;6398557;6368297;6338951;6319776;6284932;6265833;6251496;6226640;6211021;6194969;6182679;6165284;;;;;
Дальневосточный федеральный округ;042;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;;;;;8188623;8169203;8124053;8091244;
Республика Бурятия;81000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1013433;1004808;996912;987289;979605;974561;970994;966914;964581;965156;966595;969736;971538;971391;971810;973860;978495;982284;984134;984511;983273;985937;985431;982629;
Забайкальский край;76000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1207030;1192819;1178824;1165435;1152596;1142687;1132780;1123327;1115143;1111439;1109196;1108973;1106155;1099396;1095169;1090344;1087452;1083012;1078983;1072806;1065785;1059700;1053485;1043467;
Республика Саха (Якутия);98000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;977117;962507;957478;951478;948636;949969;953170;954394;956099;958929;958056;958338;958258;955859;955580;954803;956896;959689;962835;964330;967009;971996;981971;992115;
Камчатский край;30000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;380481;372308;366400;361646;357917;350510;343908;336594;330810;327949;325179;323165;321659;320156;320549;319864;317269;316116;314729;315557;314723;313016;311667;312704;
Корякский округ, входящий в состав Камчатского края;30100000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;27480;26645;25831;25685;;;;;;;;;;;;;;;;;;;;;
Приморский край;05000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;2167274;2141025;2120467;2085743;2067342;2048582;2028377;2006536;1988580;1977392;1969602;1965178;1953545;1950483;1947263;1938516;1933308;1929008;1923116;1913037;1902718;1895868;1877844;1863011;
Хабаровский край;08000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;1493881;1473876;1459908;1446177;1434242;1416224;1396800;1376260;1359894;1354848;1351123;1349230;1342887;1342475;1342083;1339912;1338305;1334552;1333294;1328302;1321473;1315643;1301127;1298978;
Амурская область;10000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;949526;935607;923055;911381;901044;887781;874018;861056;850502;844290;838869;834905;828660;821573;816910;811274;809873;805689;801752;798424;793194;790044;781846;772525;
Магаданская область;44000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;211696;201974;193945;187218;181832;178069;173937;170397;166902;163989;160940;159002;156534;154485;152358;150312;148071;146345;145570;144091;141234;140149;139034;137767;
Сахалинская область;64000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;581305;569234;560049;552155;545008;536783;529813;521121;513452;509364;504896;501279;496739;495402;493302;491027;488391;487293;487344;490181;489638;488257;485621;484177;
Еврейская автономная область;99000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;199172;195135;193198;191899;190585;188412;185763;181653;179405;178711;178148;177500;176304;174412;172671;170377;168368;166120;164217;162014;159913;158305;156500;153831;
Чукотский автономный округ;77000000000;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;67010;61613;57534;55309;53137;51933;51815;52391;52913;52825;52138;51179;50346;50988;50780;50555;50540;50157;49822;49348;49663;50288;49527;50040;
Крымский федеральный округ;039;;;;;;;;;;;;;;;;;;;;;;;;;
Раздел 1. Муниципальные образования субъектов Российской Федерации;00000000000;;;;;;;;;;;;;;;;;2294888;2323369;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
